"filename", "language", "C++", "YAML", "Dart", "JSON", "Markdown", "Project.pbxproj", "HTML", "XML", "Groovy", "Properties", "Swift", "comment", "blank", "total"
"c:\Users\pc\Documents\GitHub\cureocityUser\test\widget_test.dart", "Dart", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\pc\Documents\GitHub\cureocityUser\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 18, 7, 105
"c:\Users\pc\Documents\GitHub\cureocityUser\web\manifest.json", "JSON", 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\pc\Documents\GitHub\cureocityUser\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 405, 29, 776, 219, 13, 441, 80, 123, 92, 8, 12, 299, 275, 2772
